"id","title","content","timestamp","user_id"
"1","Bem-vindos ao Fórum Dois de Muitos","Este é um espaço para compartilhar conhecimentos sobre permacultura, agroecologia, artes e saberes tradicionais. Sintam-se à vontade para participar!",2025-05-10T04:20:34.815Z,"1"
"2","Como iniciar um projeto de permacultura em pequena escala?","Quais os primeiros passos para aplicar os princípios da permacultura em um terreno de 1 hectare? Quais são os erros mais comuns para iniciantes?",2025-05-10T04:20:34.815Z,"2"
"3","Rituais e saberes ancestrais na arte contemporânea","Alguém aqui já participou de projetos que integram expressões culturais tradicionais com linguagens artísticas modernas? Busco referências para um espetáculo multimídia inspirado em mitos da floresta.",2025-05-10T04:20:34.815Z,"3"
"4","Adubação natural: como fazer biofertilizantes caseiros?","Estou começando uma horta agroecológica e quero evitar insumos industrializados. Quais receitas vocês recomendam para fazer biofertilizantes e compostos naturais?",2025-05-10T04:20:34.815Z,"4"
"5","Teatro como ferramenta de educação ambiental","Tenho interesse em desenvolver peças teatrais que promovam consciência ecológica. Alguém tem experiência com teatro fórum ou teatro do oprimido voltado à sustentabilidade?",2025-05-10T04:20:34.815Z,"5"
"6","Artesanato com reaproveitamento: ideias para oficinas comunitárias","Quais tipos de materiais reaproveitados funcionam melhor em oficinas com crianças e adultos? Estou montando um projeto de arte e renda para mulheres em zona rural.",2025-05-10T04:20:34.815Z,"6"
"7","Como planejar uma agrofloresta biodiversa na Mata Atlântica?","Quero dicas de espécies nativas e estratégias de estratificação para criar um sistema agroflorestal que respeite o bioma local. Sugestões de combinações produtivas?",2025-05-10T04:20:34.815Z,"4"
"8","O papel da arte na regeneração de territórios","Tenho estudado como murais, música e poesia podem ajudar na cura coletiva de comunidades em transição. Alguém conhece projetos inspiradores nessa linha?",2025-05-10T04:20:34.815Z,"3"
"9","Feiras sustentáveis: como organizar trocas e exposições locais?","Estamos organizando uma feira mensal com trocas, apresentações artísticas e produtos da roça. Ideias de estrutura, divulgação e atividades intergeracionais são bem-vindas!",2025-05-10T04:20:34.815Z,"6"
"10","Vida simples no campo: desafios e aprendizados","Depois de 8 meses vivendo em uma ecovila, compartilho reflexões sobre coletividade, cuidado com a terra e autonomia. Quem mais aqui já viveu algo parecido?",2025-05-10T04:20:34.815Z,"2"
"11","Teatro ritual e celebrações da natureza","Busco referências de encenações ou vivências que celebrem os ciclos da terra, como solstícios e equinócios, integrando música, corpo e espiritualidade.",2025-05-10T04:20:34.815Z,"5"
"12","Construções naturais: tecnologias para bioconstrução","Estou planejando uma construção usando técnicas de bioconstrução. Alguém tem experiência com superadobe, taipa de mão ou pau-a-pique no clima tropical? Quais técnicas são mais duráveis durante a estação chuvosa?",2025-05-10T04:20:34.815Z,"2"
"13","Sementes crioulas: preservação e troca","Estamos organizando um banco de sementes comunitário e buscamos parceiros para troca de variedades crioulas. Alguém aqui guarda e multiplica sementes adaptadas à sua região? Vamos conectar guardiões de sementes!",2025-05-10T04:20:34.815Z,"4"
"14","Danças circulares e saberes tradicionais","Como podemos integrar danças circulares de diferentes culturas em trabalhos de reconexão comunitária? Procuro repertório de cantos e danças que celebrem a terra e os elementos naturais.",2025-05-10T04:20:34.815Z,"3"
"15","Captação e manejo sustentável de água","Quais sistemas de captação de água da chuva têm funcionado melhor em áreas rurais? Estou projetando um sistema integrado com açudes, swales e cisternas. Dicas para dimensionamento?",2025-05-10T04:20:34.815Z,"2"
"16","Ervas medicinais e saberes populares","Quem tem experiência com cultivo de farmácia viva e processamento de ervas medicinais? Estamos resgatando saberes de plantas locais e buscamos informações sobre preparos tradicionais.",2025-05-10T04:20:34.815Z,"6"
"17","Integração de animais em sistemas agroflorestais","Como integrar galinhas, abelhas e outros pequenos animais em um sistema agroflorestal jovem? Quais cuidados tomar para que os animais contribuam sem prejudicar as plantas?",2025-05-10T04:20:34.815Z,"4"
"18","Técnicas de facilitação para encontros comunitários","Busco métodos eficientes para facilitar reuniões e tomadas de decisão em grupos heterogêneos. Como lidar com conflitos e criar espaços seguros para que todos se expressem?",2025-05-10T04:20:34.815Z,"5"
"19","Arte têxtil com fibras e tintas naturais","Alguém trabalha com tecelagem e tingimento natural? Quero aprender sobre extração sustentável de fibras locais e corantes vegetais que não agridam o meio ambiente.",2025-05-10T04:20:34.815Z,"3"
